,Date,Pair,Setup,Direction,Time Frame,Lot,Status,Entry Setup,Entry Emotion,Exit Emotion,Notes
Week 1,01/06/2026,EURUSD,LIQUIDITY,UP,15,0.05,,OK,Focus on trade execution,,The trade is loss but no problem in the setup
,01/06/2026,GBPUSD,LIQUIDITY,UP,15,0.02,,,Good ,,Incorrect execution.
,01/06/2026,EURUSD,LIQUIDITY,UP,4H,0.01,,A+,Feeling well during execution.,Doing good and not plan for revenge.,
,03/06/2026,NZDUSD,LIQUIDITY,UP,4H,0.01,,A,Good execution,Doing good and not plan for revenge.,You should not check the Tradingview alway because it's make you pressure.
,06/02/2026,NZDCAD,LIQUIDITY,UP,4H,0.01,,A,Good execution,Doing good and not plan for revenge.,
Week 2,10/06/2026,GBPJPY,LIQUIDITY,DOWN,4H,0.01,Closed,A+,Good execution but not feeling well due to i want to sleep,"Early Exit, need to increate lot size.",
,,,,--,--,,--,--,,,
,,,,--,--,,--,--,,,
Week 3,16/06/2026,EURJPY,LIQUIDITY,DOWN,4H,0.01,Closed,A,Excited during execution.,Stop lose,
,16/06/2026,NZDJPY,LIQUIDITY,DOWN,4H,0.02,Closed,A+,Excited during execution.,"Early Exit, need to increate lot size.",
,16/06/2026,EURUSD,LIQUIDITY,DOWN,4H,0.01,Closed,A,Not Good but i need to trade due to fit on my System.,"Early Exit, need to increate lot size.",
Week 4,10/06/2026,GBPJPY,LIQUIDITY,DOWN,4H,0.02,Closed,A+,Excited to increase my lot size,calm and no emotion,
,16/06/2026,EURUSD,LIQUIDITY,DOWN,4H,0.02,Closed,A,Excited to increase my lot size,calm and no emotion,
,22/06/2026,GBPCAD,LIQUIDITY,DOWN,4H,0.03,Closed,A,Good,calm and no emotion,
,,,,,,,,,,,
